Price,Square,District,Parking,Drying yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
4200000,20,Tan Binh,1,0,1,0,0,0,0,1,1,0
1600000,30,Tan Binh,1,0,1,0,1,0,0,1,1,0
3300000,35,Go Vap,1,1,0,0,0,0,0,0,1,0
3000000,30,Thu Duc,1,0,0,0,0,0,0,0,0,0
1300000,10,5,1,0,0,0,0,0,0,0,0,0
1500000,100,Hoa Vang,0,0,0,1,1,0,1,1,0,0
1800000,12,Thu Duc,0,0,0,0,0,0,0,0,0,0
2500000,30,12,1,0,0,0,0,1,0,1,0,0
1500000,16,8,1,0,0,0,0,0,0,0,0,0
2000000,12,4,1,0,0,0,0,0,0,0,0,0
2900000,32,12,1,1,1,0,1,0,0,1,0,0
1700000,18,Dong Anh,1,0,1,1,0,0,0,0,0,1
3400000,25,Go Vap,1,0,0,0,0,0,0,1,1,0
3200000,20,Tan Binh,1,0,1,0,1,0,0,1,1,0
3400000,30,Go Vap,1,0,0,0,0,0,0,0,0,0
3300000,25,Binh Tan,1,0,1,0,1,0,1,1,0,1
3000000,25,Binh Tan,1,0,1,0,1,0,1,1,1,1
3200000,20,Binh Tan,1,0,1,0,0,0,0,1,1,0
3500000,25,1,1,0,1,0,1,0,0,1,0,0
2400000,25,Binh Tan,1,0,1,0,1,1,0,0,0,0
3200000,25,Thu Duc,1,0,0,0,1,0,0,0,0,0
7000000,25,1,1,0,0,0,1,0,0,0,1,0
1500000,45,5,1,1,1,0,1,0,1,1,0,1
1700000,45,5,1,1,1,0,1,0,1,1,0,1
1600000,4,9,1,0,1,0,1,0,1,0,0,0
1900000,12,Binh Thanh,1,1,0,0,0,1,0,0,0,0
2000000,30,Hai Chau,0,0,0,1,0,0,0,0,0,0
1950000,125,Thu Duc,0,1,1,1,1,0,1,1,0,1
3400000,20,Go Vap,1,0,1,1,0,0,1,0,1,1
5250000,27,Binh Thanh,1,0,0,0,0,0,0,0,0,0
3100000,23,12,1,0,0,0,1,0,0,0,0,0
3900000,25,Tan Binh,1,0,1,0,1,0,1,1,1,1
3200000,14,9,1,1,1,1,1,0,0,1,0,0
3800000,20,Phu Nhuan,1,1,0,0,0,0,0,1,1,0
1800000,25,Binh Tan,1,0,0,0,0,0,0,0,0,0
4500000,30,Tan Binh,1,0,1,0,1,0,1,0,1,1
4500000,30,Tan Binh,1,0,1,0,0,0,1,0,1,0
4000000,25,Tan Binh,1,0,0,0,0,0,0,0,0,0
3700000,25,Tan Binh,1,0,0,0,0,0,0,0,1,0
4500000,30,Tan Binh,1,0,1,0,1,0,1,0,1,1
4200000,22,10,1,0,1,0,0,0,0,0,0,1
3500000,35,9,1,1,0,0,0,0,0,0,1,0
2800000,15,1,1,0,0,1,1,0,1,1,0,1
1900000,16,3,1,0,1,0,1,0,0,0,0,1
2200000,16,10,1,0,0,0,1,0,0,1,0,0
3800000,28,9,1,0,1,0,1,0,1,1,0,1
3800000,30,9,1,1,0,0,1,0,0,0,0,0
3600000,30,Binh Tan,1,0,1,0,1,0,1,1,0,1
3400000,30,9,1,1,0,0,0,0,0,0,1,0
2700000,12,Binh Thanh,0,0,1,1,1,0,0,1,0,0
4500000,18,3,1,0,1,0,0,0,0,1,1,1
4400000,25,Go Vap,1,1,1,0,0,0,1,1,0,0
1500000,6,10,1,0,0,1,0,1,0,0,0,0
3300000,30,7,1,0,0,0,0,0,0,0,1,0
2500000,15,Phu Nhuan,1,0,1,0,0,0,0,0,0,0
6000000,25,Binh Thanh,1,0,1,0,1,0,1,1,0,1
5000000,35,2,1,1,1,1,1,0,1,1,0,1
6000000,38,2,1,1,1,1,1,0,1,1,0,1
5000000,30,Binh Thanh,1,1,1,1,1,0,1,1,1,1
2000000,12,7,1,0,0,0,1,0,1,0,0,1
6490000,40,2,1,0,0,0,1,0,0,1,1,0
5499000,35,2,1,0,0,0,1,0,0,0,0,1
1500000,50,Tan Binh,1,0,1,1,1,0,0,1,0,1
1000000,50,7,1,0,0,0,1,0,1,1,0,1
